word_added,s1,s2,s3,similarity_w,sum_cos
world,Lee Atentamente la Descripción! Información Y LINKS Nuestra Comunidad*Encuentra todo lo relacionado con nuestro servidor de habla hispana; The World Is O...,La emocionante carrera de Red Bull Soapbox [fotos] En esta singular carrera participan equipos de adultos con extraños carros fabricados en casa y que funcionan a base de pura gravedad.,PÁGINA OFICIAL DE SOAPBOX RACE WORLD:https://soapboxrace.worldPÁGINA DE DESCARGA DEL LANZADOR:https://github.com/SoapboxRaceWorld/GameLauncher_NFSW/releases/...,0.9729782342910767,0.04999136218835751
racing,UNA CARRERA PARA LOS LOCOS AVENTUREROS. Red Bull Soapbox Race 2020. Parque Metropolitano 14 de Marzo 2020.,"La carrera de autos locos Red Bull SoapBox Race inicia su etapa de postulaciones para partcipar con el más creativo, loco y rápido de los autos. En 2020 vuelve uno de los eventos más ...",Mira todos los accidentes y colisiones de la primera Red Bull Soapbox Race de Bulgaria. Así es una carrera de coches de madera sin frenos. ... 300 carreras para Red Bull Racing. F1.,0.9704931974411011,0.6463373143147679
grid,"La carrera de autos locos Red Bull SoapBox Race inicia su etapa de postulaciones para partcipar con el más creativo, loco y rápido de los autos. En 2020 vuelve uno de los eventos más ...",La emocionante carrera de Red Bull Soapbox [fotos] En esta singular carrera participan equipos de adultos con extraños carros fabricados en casa y que funcionan a base de pura gravedad.,"Red Bull Soapbox Race. Red Bull Soapbox Race 2020: Santiago de Chile. 14 Marzo 2020. Santiago, Chile. Guardar. Los mejores momentos ¡Fotos y videos! Ranking Final ¡El staff de pista!",0.9664642810821533,0.46137196187282414
locos,"Red Bull Soapbox Race: la carrera de ‘autos locos’ que estará este sábado en el Parque Metropolitano. Felipe Valdés B. 12 mar 2020 12:59 PM. Se esperan cerca de 10 mil asistentes a este evento de vehículos sin motor, que aprovechan la gravedad para circular por intrincados circuitos.",Regresan los autos locos de la Red Bull SoapBox Race La competencia vuelve a Santiago tras cuatro años de ausencia y se realizará en 2020 en el cerro San Cristóbal.,"Red Bull Soapbox Race, la competencia de autos sin motor tendrá lugar por primera vez en nuestro país y se enfrentarán a un circuito especialmente diseñado s...",0.9649233222007751,0.48531273424981997
soapbox,"Las carreras de Soapbox. Desde 1933, el Soapbox Derby existe y fue creado en los Estados Unidos, en la ciudad de Akron, en Ohio. Todos los meses de julio se celebra un campeonato donde el protagonista es un sin motor y marcas como Red Bull han puesto el ojo en la competencia, profesionalizándola y llevándola a todos los lugares del mundo.",La emocionante carrera de Red Bull Soapbox [fotos] En esta singular carrera participan equipos de adultos con extraños carros fabricados en casa y que funcionan a base de pura gravedad.,"La carrera de autos locos Red Bull SoapBox Race inicia su etapa de postulaciones para partcipar con el más creativo, loco y rápido de los autos. En 2020 vuelve uno de los eventos más ...",0.9596602916717529,0.24297489614997725
car,"La compañía Red Bull celebra el domingo 14 de julio su anual 'Soapbox race', una carrera internacional de autos locos que reúne a varios equipos con sus bólidos artesanos con el objetivo de ...","En esta peculiar carrera, tendrás que construir tu coche con materiales desechables y diseñar una carretera repleta de trampas, saltos, giros y piruetas. Cuanto más lo compliques, más puntos obtendrás. Siempre y cuando llegues a la meta, claro.","Esta es una carrera en grupo. Y si a eso le sumamos que los autos no pueden utilizar un motor, el resto del equipo pasa a ser vital a la hora de impulsar los primeros movimientos del carro.",0.9571013450622559,0.07931393135233117
angeles,"Más de 60 vehículos ""caseros"" participaron en la carrera ""SoapBox"" este fin de semana en Los Ángeles, logrando congregar a cerca de 55.000 asistentes. Entre los equipos participantes estaba el ""Elote Loco"", un …","Esta es una carrera en grupo. Y si a eso le sumamos que los autos no pueden utilizar un motor, el resto del equipo pasa a ser vital a la hora de impulsar los primeros movimientos del carro.","SOAP, Contrata tu Seguro Obligatorio de Accidentes Personales (SOAP) y cumple tus obligaciones como conductor. Obtén una Cobertura de hasta UF 300 para todos los afectados en un accidente automovilístico en el que esté involucrado tu vehículo.",0.9563947319984436,0.02299742028704729
red,"La carrera de autos locos Red Bull SoapBox Race inicia su etapa de postulaciones para partcipar con el más creativo, loco y rápido de los autos. En 2020 vuelve uno de los eventos más ...","Red Bull Soapbox Race: la carrera de ‘autos locos’ que estará este sábado en el Parque Metropolitano. Felipe Valdés B. 12 mar 2020 12:59 PM. Se esperan cerca de 10 mil asistentes a este evento de vehículos sin motor, que aprovechan la gravedad para circular por intrincados circuitos.","Como cada año, el deporte motor disfruta una de las carreras más divertidas y raras en el mundo, la Red Bull Soapbox Race , realizada en Alexandra Palace en Londres, donde los participantes lucen su creatividad para desarrollar vehículos hechos con cajas de cartón. Con más de 13 años de creación en Bruselas, la carrera Soapbox Race, busca unir a aficionados a las carreras para desafiar ...",0.9515326619148254,0.4237755396639767
coches,"Misterio descifrado. Hyundai ha desvelado este lunes las peculiaridades del Hyundai Soapbox racer, su enigmático coche de carreras sin motor que anticipó a …","En 2020 vuelve uno de los eventos más entretenidos y desafiantes del mundo a Santiago. Tras cuatro años de ausencia, SoapBox Race, que en 2016 se realizó en la comuna de La Reina, regresará durante el primer semestre de 2020 y ya están abiertas las postulaciones para los valientes (y suficientemente locos) que quieran participar. Red Bull Soapbox Race es un evento abierto al público ...","Buscando inspiración en algunos vehículos de la marca, y siguiendo la nueva identidad de la firma, el Concept 45 fue de gran ayuda, ya que en el tratamiento superficial del cuerpo de la caja, los paneles planos y la silueta en forma de cuña, se inspiran en el modelo antes mencionado. Materiales. El Hyundai Soapbox está hecho de madera, varillas de metal y materiales de conexión como ...",0.9515076875686646,0.10912844262788994
driver,"El Soapbox está hecho de madera, varillas metálicas y materiales de conexión como escuadras, abrazaderas y tornillos.Las ruedas son de una carretilla y …","La compañía Red Bull celebra el domingo 14 de julio su anual 'Soapbox race', una carrera internacional de autos locos que reúne a varios equipos con sus bólidos artesanos con el objetivo de ...",La emocionante carrera de Red Bull Soapbox [fotos] En esta singular carrera participan equipos de adultos con extraños carros fabricados en casa y que funcionan a base de pura gravedad.,0.9513406157493591,0.21128374691145138
cdmx,"Una carrera donde los coches no tiene motor y, además de la velocidad, es necesario creatividad y originalidad. Esta es la fórmula de Red Bull Soapbox Race CDMX 2016.","amigos, este 11 de septiembre se realizara el 1er red bull soapbox en la ciudad de mexico, se realizara en GALERIAS ATIZAPAN, la cita es a las 11 de la mañana, la entrada es gratis, estare ...",Red Bull Soapbox Race CDMX 2016. 11 Septiembre 2016. Guardar. Red Bull Soapbox Race es una carrera donde las estrellas son los coches …,0.9505734443664551,0.8185957662685305
organiza,"La compañía Red Bull celebra el domingo 14 de julio su anual 'Soapbox race', una carrera internacional de autos locos que reúne a varios equipos con sus bólidos artesanos con el objetivo de ...","Red Bull Soapbox Race es una carrera de autos locos que se realiza en todo el mundo, abierto al público, donde cada equipo puede inscribirse y …","Descargue la foto editorial Tornac, Francia - 08 de octubre de 2016: carrera de soapbox organizada en el pueblo de Tornac, situado en el departamento francés de Gard. La barra instalada durante toda la carrera 129346238 de la colección de millones de fotos, vectores e …",0.9491785764694214,0.34781429729353674
